,max_deg_centrality,avg_deg_centrality,max_degree,max_deg_nodes,complexity
air hawg,0.1282051282051282,0.020512820512820516,5.0,,16.0
alcohawk alcohol detector,0.10256410256410256,0.019230769230769232,4.0,,15.0
all in one printer,0.1794871794871795,0.03717948717948717,7.0,,29.0
bike,0.1282051282051282,0.019230769230769232,5.0,,15.0
blower-vac,0.15384615384615385,0.029487179487179483,6.0,,23.0
cd player,0.20512820512820512,0.04230769230769231,8.0,,33.0
coolit drink cooler,0.15384615384615385,0.02564102564102564,6.0,,20.0
dvd player,0.2564102564102564,0.05000000000000001,10.0,,39.0
first shot nerf gun,0.1282051282051282,0.028205128205128206,5.0,,22.0
game controller,0.23076923076923075,0.034615384615384596,9.0,,27.0
gillete m3 power nitro,0.1282051282051282,0.021794871794871797,5.0,,17.0
stapler,0.2564102564102564,0.03205128205128204,10.0,,25.0
hulk hands,0.10256410256410256,0.020512820512820516,4.0,,16.0
lawn mower,0.1794871794871795,0.035897435897435895,7.0,,28.0
quickgrip,0.10256410256410256,0.01794871794871795,4.0,,14.0
scooter,0.15384615384615385,0.021794871794871794,6.0,,17.0
vhs player,0.20512820512820512,0.04743589743589742,8.0,,37.0
vise grip,0.15384615384615385,0.024358974358974356,6.0,,19.0
water pump,0.1794871794871795,0.0346153846153846,7.0,,27.0
zip disk drive,0.23076923076923075,0.04743589743589742,9.0,,37.0
