Product,air hawg,alcohawk alcohol detector,all in one printer,bike,blower-vac,cd player,colgate toothbrush,coolit drink cooler,datsun,dryer,dvd player,first shot nerf gun,game controller,gillete m3 power nitro,stapler,hulk hands,lawn mower,oral b toothbrush,quickgrip,scooter,vhs player,vise grip,water pump,zip disk drive
air hawg,0.0,0.8076923076923077,0.875,0.8928571428571429,0.8181818181818182,0.8863636363636364,0.8723404255319149,0.8,0.925,0.7857142857142857,0.9,0.7333333333333333,0.868421052631579,0.9,0.7575757575757576,0.9333333333333333,0.8421052631578947,0.8775510204081632,0.8,0.9,0.8723404255319149,0.8709677419354839,0.868421052631579,0.8723404255319149
alcohawk alcohol detector,0.8076923076923077,0.0,0.9523809523809523,0.8888888888888888,0.8484848484848485,0.9333333333333333,0.8936170212765957,0.8709677419354839,0.8961038961038961,0.7777777777777778,0.9411764705882353,0.9117647058823529,0.8947368421052632,0.8571428571428571,0.8888888888888888,0.8928571428571429,0.7714285714285715,0.8979591836734694,0.8846153846153846,0.896551724137931,0.9387755102040817,0.9032258064516129,0.9230769230769231,0.9387755102040817
all in one printer,0.875,0.9523809523809523,0.0,0.926829268292683,0.7317073170731707,0.6222222222222222,0.8421052631578947,0.8604651162790697,0.8488372093023255,0.8809523809523809,0.6923076923076923,0.813953488372093,0.6666666666666666,0.8780487804878049,0.7441860465116279,0.8157894736842105,0.8125,0.8666666666666667,0.8974358974358975,0.9047619047619048,0.7547169811320755,0.8837209302325582,0.6976744186046512,0.7547169811320755
bike,0.8928571428571429,0.8888888888888888,0.926829268292683,0.0,0.8823529411764706,0.8292682926829268,0.7619047619047619,0.9393939393939394,0.8194444444444444,0.8620689655172413,0.851063829787234,0.7666666666666667,0.8947368421052632,0.72,0.7878787878787878,0.9310344827586207,0.925,0.7727272727272727,0.7391304347826086,0.6666666666666666,0.8444444444444444,0.8275862068965517,0.8947368421052632,0.9166666666666666
blower-vac,0.8181818181818182,0.8484848484848485,0.7317073170731707,0.8823529411764706,0.0,0.782608695652174,0.75,0.7714285714285715,0.7763157894736842,0.8285714285714286,0.8076923076923077,0.7142857142857143,0.75,0.75,0.7692307692307693,0.8181818181818182,0.813953488372093,0.7843137254901961,0.8787878787878788,0.8571428571428571,0.8,0.9230769230769231,0.75,0.8
cd player,0.8863636363636364,0.9333333333333333,0.6222222222222222,0.8292682926829268,0.782608695652174,0.0,0.75,0.8478260869565217,0.7283950617283951,0.813953488372093,0.2,0.8297872340425532,0.5,0.75,0.7391304347826086,0.8048780487804879,0.8490566037735849,0.7796610169491526,0.7297297297297297,0.75,0.3333333333333333,0.7,0.6666666666666666,0.4444444444444444
colgate toothbrush,0.8723404255319149,0.8936170212765957,0.8421052631578947,0.7619047619047619,0.75,0.75,0.0,0.8823529411764706,0.6282051282051282,0.8297872340425532,0.7741935483870968,0.717391304347826,0.7450980392156863,0.6829268292682927,0.7346938775510204,0.8958333333333334,0.8596491228070176,0.23255813953488372,0.725,0.7441860465116279,0.6785714285714286,0.782608695652174,0.72,0.7457627118644068
coolit drink cooler,0.8,0.8709677419354839,0.8604651162790697,0.9393939393939394,0.7714285714285715,0.8478260869565217,0.8823529411764706,0.0,0.8461538461538461,0.7333333333333333,0.8653846153846154,0.8648648648648649,0.825,0.8064516129032258,0.8461538461538461,0.8,0.8,0.8867924528301887,0.8275862068965517,0.9428571428571428,0.86,0.8529411764705882,0.8536585365853658,0.86
datsun,0.925,0.8961038961038961,0.8488372093023255,0.8194444444444444,0.7763157894736842,0.7283950617283951,0.6282051282051282,0.8461538461538461,0.0,0.8571428571428571,0.7325581395348837,0.8205128205128205,0.7236842105263158,0.8082191780821918,0.7974683544303798,0.868421052631579,0.7901234567901234,0.654320987654321,0.8333333333333334,0.84,0.6951219512195121,0.8441558441558441,0.7402597402597403,0.7261904761904762
dryer,0.7857142857142857,0.7777777777777778,0.8809523809523809,0.8620689655172413,0.8285714285714286,0.813953488372093,0.8297872340425532,0.7333333333333333,0.8571428571428571,0.0,0.8125,0.7878787878787878,0.7837837837837838,0.75,0.7714285714285715,0.8275862068965517,0.7894736842105263,0.8367346938775511,0.8148148148148148,0.8333333333333334,0.8043478260869565,0.8064516129032258,0.8461538461538461,0.8297872340425532
dvd player,0.9,0.9411764705882353,0.6923076923076923,0.851063829787234,0.8076923076923077,0.2,0.7741935483870968,0.8653846153846154,0.7325581395348837,0.8125,0.0,0.8269230769230769,0.5957446808510638,0.782608695652174,0.7450980392156863,0.8297872340425532,0.8448275862068966,0.8,0.7674418604651163,0.782608695652174,0.34782608695652173,0.7111111111111111,0.7058823529411765,0.4489795918367347
first shot nerf gun,0.7333333333333333,0.9117647058823529,0.813953488372093,0.7666666666666667,0.7142857142857143,0.8297872340425532,0.717391304347826,0.8648648648648649,0.8205128205128205,0.7878787878787878,0.8269230769230769,0.0,0.8333333333333334,0.7,0.4838709677419355,0.8823529411764706,0.8372093023255814,0.7291666666666666,0.7142857142857143,0.7419354838709677,0.82,0.7941176470588235,0.775,0.8867924528301887
game controller,0.868421052631579,0.8947368421052632,0.6666666666666666,0.8947368421052632,0.75,0.5,0.7450980392156863,0.825,0.7236842105263158,0.7837837837837838,0.5957446808510638,0.8333333333333334,0.0,0.7428571428571429,0.7619047619047619,0.7352941176470589,0.7777777777777778,0.7777777777777778,0.6774193548387096,0.7428571428571429,0.6086956521739131,0.7222222222222222,0.6829268292682927,0.5777777777777777
gillete m3 power nitro,0.9,0.8571428571428571,0.8780487804878049,0.72,0.75,0.75,0.6829268292682927,0.8064516129032258,0.8082191780821918,0.75,0.782608695652174,0.7,0.7428571428571429,0.0,0.7272727272727273,0.7307692307692307,0.8461538461538461,0.6976744186046512,0.7083333333333334,0.7407407407407407,0.7727272727272727,0.8,0.8108108108108109,0.851063829787234
stapler,0.7575757575757576,0.8888888888888888,0.7441860465116279,0.7878787878787878,0.7692307692307693,0.7391304347826086,0.7346938775510204,0.8461538461538461,0.7974683544303798,0.7714285714285715,0.7450980392156863,0.4838709677419355,0.7619047619047619,0.7272727272727273,0.0,0.8611111111111112,0.7674418604651163,0.7450980392156863,0.6551724137931034,0.7272727272727273,0.7083333333333334,0.6666666666666666,0.7,0.7843137254901961
hulk hands,0.9333333333333333,0.8928571428571429,0.8157894736842105,0.9310344827586207,0.8181818181818182,0.8048780487804879,0.8958333333333334,0.8,0.868421052631579,0.8275862068965517,0.8297872340425532,0.8823529411764706,0.7352941176470589,0.7307692307692307,0.8611111111111112,0.0,0.8108108108108109,0.9,0.8888888888888888,0.9354838709677419,0.8478260869565217,0.90625,0.8055555555555556,0.8478260869565217
